Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,0.3162924,0,-0.80786683,0,-0.6,0,-0.6
0.00037406289,0.31629249,0.00037406289,-0.80786674,0.00037406289,-0.54723887,0.00037406289,-0.6
0.003125,0.31629316,0.003125,-0.80786607,0.003125,-0.15922245,0.003125,-0.59999999
0.003499063,0.31629326,0.003499063,-0.80786598,0.003499063,-0.15707747,0.003499063,-0.59999999
0.0062500001,0.31629393,0.0062500001,-0.8078653,0.0062500001,-0.14130283,0.0062500001,-0.59999999
0.006624063,0.31629402,0.006624063,-0.80786521,0.006624063,-0.14004808,0.006624063,-0.59999998
0.0093750004,0.31629469,0.0093750004,-0.80786454,0.0093750004,-0.13082036,0.0093750004,-0.59999998
0.0097490633,0.31629479,0.0097490633,-0.80786445,0.0097490633,-0.12993009,0.0097490633,-0.59999998
0.0125,0.31629546,0.0125,-0.80786377,0.0125,-0.12338283,0.0125,-0.59999997
0.012874063,0.31629555,0.012874063,-0.80786368,0.012874063,-0.12269227,0.012874063,-0.59999997
0.015625,0.31629622,0.015625,-0.80786301,0.015625,-0.11761374,0.015625,-0.59999996
0.015999064,0.31629632,0.015999064,-0.80786291,0.015999064,-0.1170495,0.015999064,-0.59999996
0.018750001,0.31629699,0.018750001,-0.80786224,0.018750001,-0.11289998,0.018750001,-0.59999996
0.019124063,0.31629708,0.019124063,-0.80786215,0.019124063,-0.11242292,0.019124063,-0.59999996
0.021875,0.31629775,0.021875,-0.80786148,0.021875,-0.10891449,0.021875,-0.59999995
0.022249063,0.31629785,0.022249063,-0.80786138,0.022249063,-0.10850124,0.022249063,-0.59999995
0.025,0.31629852,0.025,-0.80786071,0.025,-0.10546206,0.025,-0.59999994
0.025374062,0.31629861,0.025374062,-0.80786062,0.025374062,-0.10509753,0.025374062,-0.59999994
0.028124999,0.31629928,0.028124999,-0.80785995,0.028124999,-0.10241675,0.028124999,-0.59999994
0.028499063,0.31629938,0.028499063,-0.80785985,0.028499063,-0.10209067,0.028499063,-0.59999993
0.03125,0.31630005,0.03125,-0.80785918,0.03125,-0.099692588,0.03125,-0.59999993
0.031624064,0.31630014,0.031624064,-0.80785909,0.031624064,-0.099397606,0.031624064,-0.59999993
0.034375001,0.31630082,0.034375001,-0.80785842,0.034375001,-0.097228247,0.034375001,-0.59999992
0.034749065,0.31630091,0.034749065,-0.80785832,0.034749065,-0.096958945,0.034749065,-0.59999992
0.037500001,0.31630158,0.037500001,-0.80785765,0.037500001,-0.094978446,0.037500001,-0.59999991
0.037874065,0.31630167,0.037874065,-0.80785756,0.037874065,-0.094730709,0.037874065,-0.59999991
0.040624999,0.31630235,0.040624999,-0.80785689,0.040624999,-0.0929088,0.040624999,-0.59999991
0.040999062,0.31630244,0.040999062,-0.80785679,0.040999062,-0.092679428,0.040999062,-0.59999991
0.043749999,0.31630311,0.043749999,-0.80785612,0.043749999,-0.090992579,0.043749999,-0.5999999
0.044124063,0.3163032,0.044124063,-0.80785603,0.044124063,-0.090779035,0.044124063,-0.5999999
